count,country,request_url,scrap_date,scrap_time
33,Plitvice Lakes National Park,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
2,Podstrana,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
1,Porec,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
10,Pula,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
2,Rab,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
5,Rijeka,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
1,Rimac Automobili,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
2,Rovinj,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
1,Sakarun,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
3,Skradin,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
2,Slano,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
1,Solin,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
173,Split,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
2,Stiniva Cove,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
1,Stomorska,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
58,Trogir,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
2,Trsteno,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
1,Velebit,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
3,Vis,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
1,Waterfall Gubavica,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
14,Westeros,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
36,Zadar,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
74,Zagreb,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
1,Zlarin,https://www.getyourguide.com/destinations/croatia-n117/,2019-11-11,22:45
5,Konjic,https://www.getyourguide.com/destinations/bosnia-and-herzegovina-n95/,2019-11-11,22:45
12,Medjugorje,https://www.getyourguide.com/destinations/bosnia-and-herzegovina-n95/,2019-11-11,22:45
32,Mostar,https://www.getyourguide.com/destinations/bosnia-and-herzegovina-n95/,2019-11-11,22:45
8,Počitelj,https://www.getyourguide.com/destinations/bosnia-and-herzegovina-n95/,2019-11-11,22:45
53,Sarajevo,https://www.getyourguide.com/destinations/bosnia-and-herzegovina-n95/,2019-11-11,22:45
16,Antwerp,https://www.getyourguide.com/destinations/belgium-n23/,2019-11-11,22:45
32,Bruges,https://www.getyourguide.com/destinations/belgium-n23/,2019-11-11,22:45
81,Brussels,https://www.getyourguide.com/destinations/belgium-n23/,2019-11-11,22:45
2,Flanders Fields,https://www.getyourguide.com/destinations/belgium-n23/,2019-11-11,22:45
17,Ghent,https://www.getyourguide.com/destinations/belgium-n23/,2019-11-11,22:45
2,Ostend,https://www.getyourguide.com/destinations/belgium-n23/,2019-11-11,22:45
3,Ypres,https://www.getyourguide.com/destinations/belgium-n23/,2019-11-11,22:45
2,Zeebrugge,https://www.getyourguide.com/destinations/belgium-n23/,2019-11-11,22:45
3,Brest,https://www.getyourguide.com/destinations/belarus-n89/,2019-11-11,22:45
27,Minsk,https://www.getyourguide.com/destinations/belarus-n89/,2019-11-11,22:45
4,Mir,https://www.getyourguide.com/destinations/belarus-n89/,2019-11-11,22:45
